id,emotion_tag,source,text
0001,apologetic,check_balance_notfound,اکاؤنٹ نہیں ملا۔
0002,neutral,check_balance_success,آپ کا بیلنس تین سو پچاس روپے ہے۔
0003,neutral,check_balance_success,آپ کا بیلنس نو سو روپے ہے۔
0004,neutral,check_balance_success,آپ کا بیلنس ایک ہزار پانچ سو روپے ہے۔
0005,neutral,check_balance_success,آپ کا بیلنس چار ہزار دو سو روپے ہے۔
0006,neutral,check_balance_success,آپ کا بیلنس آٹھ ہزار سات سو پچاس روپے ہے۔
0007,neutral,check_balance_success,آپ کا بیلنس پندرہ ہزار روپے ہے۔
0008,neutral,check_balance_success,آپ کا بیلنس پچیس ہزار روپے ہے۔
0009,neutral,check_balance_success,آپ کا بیلنس تینتیس ہزار دو سو اعشاریہ پانچ صفر روپے ہے۔
0010,neutral,check_balance_success,آپ کا بیلنس اکتالیس ہزار سات سو روپے ہے۔
0011,neutral,check_balance_success,آپ کا بیلنس اڑسٹھ ہزار پانچ سو روپے ہے۔
0012,neutral,check_balance_success,آپ کا بیلنس ننانوے ہزار نو سو ننانوے روپے ہے۔
0013,neutral,check_balance_success,آپ کا بیلنس ایک لاکھ پچیس ہزار روپے ہے۔
0014,neutral,check_balance_success,آپ کا بیلنس دو لاکھ پچاس ہزار روپے ہے۔
0015,neutral,check_balance_success,آپ کا بیلنس چار لاکھ پچھتر ہزار اعشاریہ دو پانچ روپے ہے۔
0016,neutral,check_balance_success,آپ کا بیلنس نو لاکھ ننانوے ہزار نو سو ننانوے روپے ہے۔
0017,neutral,check_balance_success,آپ کا بیلنس بارہ لاکھ پچاس ہزار روپے ہے۔
0018,neutral,check_balance_success,آپ کا بیلنس چونتیس لاکھ روپے ہے۔
0019,neutral,check_balance_success,آپ کا بیلنس چھہتر لاکھ روپے ہے۔
0020,neutral,check_balance_success,آپ کا بیلنس ایک کروڑ پانچ لاکھ روپے ہے۔
0021,neutral,check_balance_success,آپ کا بیلنس دو کروڑ پچاس لاکھ روپے ہے۔
0022,apologetic,send_money_notfound,آپ کا اکاؤنٹ نہیں ملا۔
0023,apologetic,send_money_insufficient,کافی رقم نہیں ہے۔ آپ کا بیلنس تین سو پچاس روپے ہے، دو سو پچاس نہیں بھیجے جا سکتے۔
0024,apologetic,send_money_insufficient,کافی رقم نہیں ہے۔ آپ کا بیلنس نو سو روپے ہے، آٹھ سو نہیں بھیجے جا سکتے۔
0025,apologetic,send_money_insufficient,کافی رقم نہیں ہے۔ آپ کا بیلنس ایک ہزار پانچ سو روپے ہے، ایک ہزار پانچ سو نہیں بھیجے جا سکتے۔
0026,apologetic,send_money_insufficient,کافی رقم نہیں ہے۔ آپ کا بیلنس چار ہزار دو سو روپے ہے، دو ہزار نہیں بھیجے جا سکتے۔
0027,apologetic,send_money_insufficient,کافی رقم نہیں ہے۔ آپ کا بیلنس آٹھ ہزار سات سو پچاس روپے ہے، تین ہزار سات سو پچاس نہیں بھیجے جا سکتے۔
0028,apologetic,send_money_insufficient,کافی رقم نہیں ہے۔ آپ کا بیلنس پندرہ ہزار روپے ہے، پانچ ہزار نہیں بھیجے جا سکتے۔
