0001.wav|اکاؤنٹ نہیں ملا۔
0002.wav|آپ کا بیلنس تین سو پچاس روپے ہے۔
0003.wav|آپ کا بیلنس نو سو روپے ہے۔
0004.wav|آپ کا بیلنس ایک ہزار پانچ سو روپے ہے۔
0005.wav|آپ کا بیلنس چار ہزار دو سو روپے ہے۔
0006.wav|آپ کا بیلنس آٹھ ہزار سات سو پچاس روپے ہے۔
0007.wav|آپ کا بیلنس پندرہ ہزار روپے ہے۔
0008.wav|آپ کا بیلنس پچیس ہزار روپے ہے۔
0009.wav|آپ کا بیلنس تینتیس ہزار دو سو اعشاریہ پانچ صفر روپے ہے۔
0010.wav|آپ کا بیلنس اکتالیس ہزار سات سو روپے ہے۔
0011.wav|آپ کا بیلنس اڑسٹھ ہزار پانچ سو روپے ہے۔
0012.wav|آپ کا بیلنس ننانوے ہزار نو سو ننانوے روپے ہے۔
0013.wav|آپ کا بیلنس ایک لاکھ پچیس ہزار روپے ہے۔
0014.wav|آپ کا بیلنس دو لاکھ پچاس ہزار روپے ہے۔
0015.wav|آپ کا بیلنس چار لاکھ پچھتر ہزار اعشاریہ دو پانچ روپے ہے۔
0016.wav|آپ کا بیلنس نو لاکھ ننانوے ہزار نو سو ننانوے روپے ہے۔
0017.wav|آپ کا بیلنس بارہ لاکھ پچاس ہزار روپے ہے۔
0018.wav|آپ کا بیلنس چونتیس لاکھ روپے ہے۔
0019.wav|آپ کا بیلنس چھہتر لاکھ روپے ہے۔
0020.wav|آپ کا بیلنس ایک کروڑ پانچ لاکھ روپے ہے۔
0021.wav|آپ کا بیلنس دو کروڑ پچاس لاکھ روپے ہے۔
0022.wav|آپ کا اکاؤنٹ نہیں ملا۔
0023.wav|کافی رقم نہیں ہے۔ آپ کا بیلنس تین سو پچاس روپے ہے، دو سو پچاس نہیں بھیجے جا سکتے۔
0024.wav|کافی رقم نہیں ہے۔ آپ کا بیلنس نو سو روپے ہے، آٹھ سو نہیں بھیجے جا سکتے۔
0025.wav|کافی رقم نہیں ہے۔ آپ کا بیلنس ایک ہزار پانچ سو روپے ہے، ایک ہزار پانچ سو نہیں بھیجے جا سکتے۔
0026.wav|کافی رقم نہیں ہے۔ آپ کا بیلنس چار ہزار دو سو روپے ہے، دو ہزار نہیں بھیجے جا سکتے۔
0027.wav|کافی رقم نہیں ہے۔ آپ کا بیلنس آٹھ ہزار سات سو پچاس روپے ہے، تین ہزار سات سو پچاس نہیں بھیجے جا سکتے۔
0028.wav|کافی رقم نہیں ہے۔ آپ کا بیلنس پندرہ ہزار روپے ہے، پانچ ہزار نہیں بھیجے جا سکتے۔
0029.wav|کافی رقم نہیں ہے۔ آپ کا بیلنس پچیس ہزار روپے ہے، نو ہزار نو سو ننانوے نہیں بھیجے جا سکتے۔
0030.wav|کافی رقم نہیں ہے۔ آپ کا بیلنس تینتیس ہزار دو سو اعشاریہ پانچ صفر روپے ہے، بارہ ہزار پانچ سو نہیں بھیجے جا سکتے۔
0031.wav|دو سو پچاس USD بھیجے جا رہے ہیں۔ ٹرانزیکشن کامیاب رہی۔ نیا بیلنس: تین سو پچاس روپے
0032.wav|آٹھ سو PKR بھیجے جا رہے ہیں۔ ٹرانزیکشن کامیاب رہی۔ نیا بیلنس: نو سو روپے
0033.wav|ایک ہزار پانچ سو EUR بھیجے جا رہے ہیں۔ ٹرانزیکشن کامیاب رہی۔ نیا بیلنس: ایک ہزار پانچ سو روپے
0034.wav|دو ہزار GBP بھیجے جا رہے ہیں۔ ٹرانزیکشن کامیاب رہی۔ نیا بیلنس: چار ہزار دو سو روپے
0035.wav|تین ہزار سات سو پچاس USD بھیجے جا رہے ہیں۔ ٹرانزیکشن کامیاب رہی۔ نیا بیلنس: آٹھ ہزار سات سو پچاس روپے
0036.wav|پانچ ہزار PKR بھیجے جا رہے ہیں۔ ٹرانزیکشن کامیاب رہی۔ نیا بیلنس: پندرہ ہزار روپے
0037.wav|نو ہزار نو سو ننانوے EUR بھیجے جا رہے ہیں۔ ٹرانزیکشن کامیاب رہی۔ نیا بیلنس: پچیس ہزار روپے
0038.wav|بارہ ہزار پانچ سو GBP بھیجے جا رہے ہیں۔ ٹرانزیکشن کامیاب رہی۔ نیا بیلنس: تینتیس ہزار دو سو اعشاریہ پانچ صفر روپے
0039.wav|پچیس ہزار USD بھیجے جا رہے ہیں۔ ٹرانزیکشن کامیاب رہی۔ نیا بیلنس: اکتالیس ہزار سات سو روپے
0040.wav|پچاس ہزار PKR بھیجے جا رہے ہیں۔ ٹرانزیکشن کامیاب رہی۔ نیا بیلنس: اڑسٹھ ہزار پانچ سو روپے
0041.wav|ستاسی ہزار پانچ سو اعشاریہ پانچ صفر EUR بھیجے جا رہے ہیں۔ ٹرانزیکشن کامیاب رہی۔ نیا بیلنس: ننانوے ہزار نو سو ننانوے روپے
0042.wav|ایک لاکھ پچاس ہزار GBP بھیجے جا رہے ہیں۔ ٹرانزیکشن کامیاب رہی۔ نیا بیلنس: ایک لاکھ پچیس ہزار روپے
0043.wav|یہ کرنسی تبدیلی مکمل نہیں ہو سکی۔
0044.wav|دو سو پچاس USD = ایک لاکھ انتالیس ہزار پانچ سو PKR
0045.wav|آٹھ سو EUR = ایک لاکھ اکاون ہزار دو سو PKR
0046.wav|ایک ہزار پانچ سو GBP = ایک لاکھ چھہتر ہزار چار سو PKR
0047.wav|دو ہزار PKR = تین اعشاریہ چھ USD
